Content type,Object ID,User ID,First View,Last View,Views,Clicks,Liked,Completed,Times Completed,Last Completed,Max Duration,Total Duration,Max Duration Percent,Last Duration
Video,9745,26501,2019-12-24 22:06:23.813400+00:00,2019-12-24 22:06:23.816932+00:00,1,0,,,,,,,,
Video,9855,168192,2019-08-29 09:52:27.527287+00:00,2019-12-24 22:06:10.525584+00:00,18,7,,TRUE,14,20191224,319,3502,116,220
Video,12908,170099,2019-12-24 22:05:52.200440+00:00,2019-12-24 22:05:52.203355+00:00,1,0,,TRUE,1,20191224,1349,1349,100,1349
Video,9565,168192,2019-08-29 09:50:47.757409+00:00,2019-12-24 22:05:44.352661+00:00,14,1,,TRUE,12,20191224,93,1273.00801,100,2.00801045
Video,6039,66132,2019-12-22 23:57:49.869366+00:00,2019-12-24 22:05:35.846954+00:00,4,0,,TRUE,2,20191224,111,222,100,111
Video,9565,162355,2019-12-21 06:30:34.225252+00:00,2019-12-24 22:05:30.968492+00:00,3,1,,TRUE,1,20191224,93,185,100,93
Video,14011,35241,2019-12-24 20:28:23.553459+00:00,2019-12-24 22:05:00.277153+00:00,3,2,,TRUE,1,20191224,970,1018,100,970
Video,9560,168192,2019-08-29 10:11:52.545186+00:00,2019-12-24 22:04:26.374025+00:00,9,0,,TRUE,8,20191224,95,760,100,95
Video,10096,175773,2019-12-24 22:03:56.221629+00:00,2019-12-24 22:03:56.227390+00:00,1,0,,TRUE,1,20191224,1376,1376,100,1376
Video,9841,176680,2019-12-23 22:07:44.801148+00:00,2019-12-24 22:03:48.823533+00:00,7,1,FALSE,TRUE,6,20191224,1107,4287,100,530
Video,9560,162355,2019-12-24 22:03:41.973767+00:00,2019-12-24 22:03:41.977821+00:00,1,0,,TRUE,1,20191224,95,95,100,95
Video,11889,66132,2019-12-22 23:55:56.674045+00:00,2019-12-24 22:03:41.929290+00:00,4,0,,TRUE,2,20191224,111,222,100,111
Video,9424,175859,2019-12-24 18:44:16.963310+00:00,2019-12-24 22:02:45.734233+00:00,8,0,,TRUE,8,20191224,241,1928,100,241
Video,9567,168192,2019-08-29 10:10:07.053677+00:00,2019-12-24 22:02:43.589421+00:00,10,0,,TRUE,9,20191224,98,882,100,98
Video,4259,175991,2019-12-16 21:16:12.651946+00:00,2019-12-24 22:02:41.742123+00:00,4,3,,,,,363,367,151,2
Video,9567,162355,2019-12-24 22:01:52.803068+00:00,2019-12-24 22:01:52.806186+00:00,1,0,,TRUE,1,20191224,98,98,100,98
Video,6042,66132,2019-12-22 23:54:03.601017+00:00,2019-12-24 22:01:47.949739+00:00,4,0,,TRUE,2,20191224,111,222,100,111
Video,13624,53944,2019-11-22 01:55:07.792853+00:00,2019-12-24 22:00:59.280129+00:00,5,3,,TRUE,2,20191223,330,907.9666958,100,330
Video,13287,53944,2019-09-29 12:29:14.009656+00:00,2019-12-24 22:00:48.556388+00:00,3,0,,TRUE,2,20191224,330,686,100,26
Video,9566,168192,2019-08-29 10:07:07.759431+00:00,2019-12-24 22:00:34.406505+00:00,10,0,,TRUE,9,20191224,170,1658.705492,100,128.7054916
